Date,Open,High,Low,Close
2017-05-08 09:15:00,296.15,296.65,293.9,295.25
2017-05-08 09:30:00,295.25,295.7,294.95,295.4
2017-05-08 09:45:00,295.4,299.25,295.35,298.95
2017-05-08 10:00:00,298.8,300.75,298.8,299.85
2017-05-08 10:15:00,299.8,299.9,298.6,299.4
2017-05-08 10:30:00,299.55,300.0,299.3,299.8
2017-05-08 10:45:00,299.7,300.0,299.2,299.5
2017-05-08 11:00:00,299.5,299.7,299.3,299.6
2017-05-08 11:15:00,299.65,299.9,299.35,299.35
2017-05-08 11:30:00,299.4,299.45,298.6,298.85
2017-05-08 11:45:00,298.85,299.4,298.8,298.8
2017-05-08 12:00:00,298.8,299.25,298.2,298.6
2017-05-08 12:15:00,298.7,299.1,298.5,298.8
2017-05-08 12:30:00,298.8,299.0,297.85,298.0
2017-05-08 12:45:00,298.0,298.85,297.85,298.2
2017-05-08 13:00:00,298.2,298.6,297.85,298.0
2017-05-08 13:15:00,298.0,299.7,297.95,299.3
2017-05-08 13:30:00,299.3,300.0,298.8,299.9
2017-05-08 13:45:00,299.85,300.5,299.65,300.0
2017-05-08 14:00:00,300.0,300.2,298.7,298.95
2017-05-08 14:15:00,298.95,299.85,298.75,299.2
2017-05-08 14:30:00,299.2,300.0,299.1,299.65
2017-05-08 14:45:00,299.65,300.0,299.0,299.15
2017-05-08 15:00:00,299.2,299.65,298.8,299.55
2017-05-08 15:15:00,299.6,299.95,298.8,298.8
2017-05-09 09:15:00,300.9,300.9,298.6,298.85
2017-05-09 09:30:00,298.85,298.85,296.15,296.95
2017-05-09 09:45:00,296.85,297.2,296.3,296.55
2017-05-09 10:00:00,296.5,297.2,296.35,296.4
2017-05-09 10:15:00,296.5,296.85,295.55,296.05
2017-05-09 10:30:00,296.0,296.3,295.25,296.1
2017-05-09 10:45:00,296.1,296.95,295.95,296.95
2017-05-09 11:00:00,296.95,297.0,296.55,296.95
2017-05-09 11:15:00,296.95,297.05,296.55,297.0
2017-05-09 11:30:00,297.0,297.7,296.8,296.95
2017-05-09 11:45:00,296.85,297.25,296.35,297.15
2017-05-09 12:00:00,297.15,297.45,296.85,297.0
2017-05-09 12:15:00,296.95,297.1,296.55,296.65
2017-05-09 12:30:00,296.65,297.85,296.6,297.75
2017-05-09 12:45:00,297.75,297.9,296.95,297.7
2017-05-09 13:00:00,297.7,298.4,297.3,298.15
2017-05-09 13:15:00,298.15,298.25,297.25,297.5
2017-05-09 13:30:00,297.5,297.95,297.35,297.8
2017-05-09 13:45:00,297.75,298.0,296.25,296.8
2017-05-09 14:00:00,297.0,297.2,296.45,296.7
2017-05-09 14:15:00,296.65,297.8,296.65,297.2
2017-05-09 14:30:00,297.2,297.5,296.8,297.1
2017-05-09 14:45:00,297.1,297.2,296.6,296.95
2017-05-09 15:00:00,296.95,297.05,296.35,296.75
2017-05-09 15:15:00,296.75,296.85,296.05,296.4
2017-05-10 09:15:00,297.05,298.15,296.25,297.15
2017-05-10 09:30:00,296.8,297.3,296.2,297.15
2017-05-10 09:45:00,297.15,297.8,297.1,297.6
2017-05-10 10:00:00,297.6,297.95,296.25,296.35
2017-05-10 10:15:00,296.4,296.95,295.8,295.9
2017-05-10 10:30:00,295.9,296.5,295.85,296.2
2017-05-10 10:45:00,296.2,296.65,296.0,296.5
2017-05-10 11:00:00,296.5,296.6,296.05,296.05
2017-05-10 11:15:00,296.0,296.35,296.0,296.15
2017-05-10 11:30:00,296.15,296.2,294.95,295.45
2017-05-10 11:45:00,295.45,295.9,295.35,295.8
2017-05-10 12:00:00,295.8,296.15,295.55,295.7
2017-05-10 12:15:00,295.7,295.8,295.4,295.5
2017-05-10 12:30:00,295.5,295.5,294.7,295.3
2017-05-10 12:45:00,295.3,295.5,295.05,295.1
2017-05-10 13:00:00,295.1,295.8,294.8,295.45
2017-05-10 13:15:00,295.45,295.55,295.1,295.45
2017-05-10 13:30:00,295.4,295.7,294.9,295.25
2017-05-10 13:45:00,295.25,295.4,294.6,294.6
2017-05-10 14:00:00,294.6,295.0,294.2,294.2
2017-05-10 14:15:00,294.25,294.35,293.0,293.9
2017-05-10 14:30:00,293.9,294.0,293.25,293.3
2017-05-10 14:45:00,293.3,294.2,293.25,293.8
2017-05-10 15:00:00,293.9,294.65,293.7,294.3
2017-05-10 15:15:00,294.3,295.15,293.9,294.8
2017-05-11 09:15:00,295.75,296.7,295.45,296.1
2017-05-11 09:30:00,295.95,296.25,295.5,295.65
2017-05-11 09:45:00,295.6,295.8,294.9,295.45
